"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "," "
"Bending"," ","4"," "," "," ","2"," "," "," "
"By hand"," ","3"," "," "," ","3"," "," "," "
"Carrying less than 5 kg"," ","5","1"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","6"," "," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","6"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","1","4","1"," "," "," "," "," "
"Grasping"," ","3","1","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","3"," ","1"," "
"Keyboarding on phone"," ","6"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","4"," "," "," ","2"," "," "," "
"Lifting less than 5 kg"," ","5","1"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","6"," "," "," "," "," "," "," "
"Other climbing"," ","6"," "," "," "," "," "," "," "
"Pinching"," ","4","1","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," ","1"," "," "
"Pulling more than 5 kg"," ","6"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","6"," "," "," "," "," "," "," "
"Reaching"," ","3","2","1"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","2"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","2","2"," ","2"," "
"Stair climbing"," ","3"," "," "," ","3"," "," "," "
"Standing (Continuous)"," ","2"," "," "," ","4"," "," "," "
"Standing (Intermittent)"," "," "," "," ","1","3"," ","2"," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," ","2"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," "," ","4"," ","2"," "
"Work only indoors","3"," "," "," "," "," "," "," ","3"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "," ","2"
"Total","65","86","12","5","8","30","2","7","19"
