"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","3","1","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","5","2","2"," "," "
"Follow multiple step commands","1"," "," "," ","6","2"
"Integrating new learning into practice"," ","5"," ","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","7","2"
"Practicing good judgement and decision-making"," "," ","1","8"," "," "
"Problem solving"," ","2","2","5"," "," "
"Reading electronic documents"," ","2","2","5"," "," "
"Reading paper documents (handwritten or typed)"," "," ","6","3"," "," "
"Require instant recall of facts/data"," "," "," "," ","3","6"
"Self-starting/initiating"," ","2","3","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","5"," ","4"," "," "
"Total","1","24","17","40","16","10"
