"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," ","1"
"Bending"," ","8"," "," "," ","1"," "," "," "
"By hand"," ","2"," "," ","2","4"," ","1"," "
"Carrying less than 5 kg"," ","7","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","9"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","9"," "," "," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","7"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","3","2","1"," "," ","3"," "," "
"Grasping"," ","5","3","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","3"," ","5"," "
"Keyboarding on phone"," ","7"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","7"," "," "," ","2"," "," "," "
"Lifting less than 5 kg"," ","8","1"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Other climbing"," ","7"," "," "," ","2"," "," "," "
"Pinching"," ","5","4"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","8","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","8","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Reaching"," ","5","4"," "," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","1","3"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","1","2"," ","6"," "
"Stair climbing"," ","2"," "," "," ","7"," "," "," "
"Standing (Continuous)"," ","4"," "," "," ","5"," "," "," "
"Standing (Intermittent)"," "," "," "," "," ","7"," ","2"," "
"Travel via car required","6"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","4"," "," "," "," "," "," "," ","5"
"Twisting /awkward posture"," ","7"," "," "," ","2"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," "," ","9"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","6"
"Work outdoors > 2 hour","7"," "," "," "," "," "," "," ","2"
"Total","100","130","18","2","5","49","3","18","26"
