"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","1","1","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","1","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","4","1"
"Integrating new learning into practice"," "," ","3"," ","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4","2"
"Practicing good judgement and decision-making"," "," "," ","1","5"," "," "
"Problem solving"," "," "," ","1","5"," "," "
"Reading electronic documents"," "," ","1","3","2"," "," "
"Reading paper documents (handwritten or typed)"," ","2"," ","2","2"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","2","3"
"Self-starting/initiating"," "," ","1","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1"," ","5"," "," "
"Total","2","2","8","10","34","10","6"
