"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1"," ","1"," "," "
"Follow multiple step commands","1"," "," "," ","1"," "
"Integrating new learning into practice"," "," "," ","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","1","1"
"Practicing good judgement and decision-making"," "," "," ","2"," "," "
"Problem solving"," "," "," ","2"," "," "
"Reading electronic documents"," ","1","1"," "," "," "
"Reading paper documents (handwritten or typed)"," ","1","1"," "," "," "
"Require instant recall of facts/data"," "," "," "," ","1","1"
"Self-starting/initiating"," "," "," ","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","1"," ","1"," "," "
"Total","1","4","2","12","3","2"
