"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," "
"Bending"," ","2"," "," "," "," "," "
"By hand"," ","1"," "," ","1"," "," "
"Carrying less than 2 kg"," ","2"," "," "," "," "," "
"Carrying more than 2 kg"," ","2"," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," "
"Exposure to chemicals","2"," "," "," "," "," "," "
"Exposure to excessive dust","2"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "
"Exposure to extreme temperatures","2"," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","1"," "," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," "," "," "
"Finger dexterity"," ","1","1"," "," "," "," "
"Grasping"," ","1","1"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","1","1"," "," "
"Keyboarding on phone"," ","2"," "," "," "," "," "
"Kneeling/squatting"," ","2"," "," "," "," "," "
"Lifting less than 2 kg"," ","2"," "," "," "," "," "
"Lifting more than 2 kg"," ","2"," "," "," "," "," "
"Other climbing"," ","2"," "," "," "," "," "
"Pinching"," ","1","1"," "," "," "," "
"Pulling less than 2 kg"," ","2"," "," "," "," "," "
"Pulling more than 2 kg"," ","2"," "," "," "," "," "
"Pushing less than 2 kg"," ","2"," "," "," "," "," "
"Pushing more than 2 kg"," ","2"," "," "," "," "," "
"Reaching"," ","1","1"," "," "," "," "
"Sitting (Continuous)"," "," "," "," ","1","1"," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," "
"Stair climbing"," "," "," "," ","2"," "," "
"Standing (Continuous)"," "," "," "," ","2"," "," "
"Standing (Intermittent)"," "," "," "," ","2"," "," "
"Travel via car required","1"," "," "," "," "," ","1"
"Travel via public transportation required","1"," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," "," "," "
"Use of sharp tools","2"," "," "," "," "," "," "
"Walking"," "," "," "," ","2"," "," "
"Work only indoors","1"," "," "," "," "," ","1"
"Work outdoors > 2 hour","2"," "," "," "," "," "," "
"Total","24","31","4","1","12","2","4"
