"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","10"," "," "," "," "," "," ","1"
"Bending"," ","10"," "," "," ","1"," "," "
"By hand"," ","1"," "," ","2","7","1"," "
"Carrying less than 5 kg"," ","10","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","11"," "," "," "," "," "," "
"Congested/cluttered working areas","10"," "," "," "," "," "," ","1"
"Exposure to chemicals","11"," "," "," "," "," "," "," "
"Exposure to excessive dust","11"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","11"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","10"," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," ","4"
"Exposure to strong odors","9"," "," "," "," "," "," ","2"
"Finger dexterity"," ","6","4","1"," "," "," "," "
"Grasping"," ","7","2","2"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","3","4"," "
"Keyboarding on phone"," ","8"," "," "," ","2","1"," "
"Kneeling/squatting"," ","10"," "," "," ","1"," "," "
"Lifting less than 5 kg"," ","11"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","11"," "," "," "," "," "," "
"Other climbing"," ","11"," "," "," "," "," "," "
"Pinching"," ","7","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","11"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","10","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","11"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","10","1"," "," "," "," "," "
"Reaching"," ","7","4"," "," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","3","3","3"," "
"Sitting (Intermittent)"," "," "," "," ","3","3","5"," "
"Stair climbing"," ","5"," "," "," ","6"," "," "
"Standing (Continuous)"," ","5"," "," "," ","6"," "," "
"Standing (Intermittent)"," ","1"," "," ","1","7","2"," "
"Travel via car required","9"," "," "," "," "," "," ","2"
"Travel via public transportation required","4"," "," "," "," "," "," ","7"
"Twisting /awkward posture"," ","9"," "," "," ","2"," "," "
"Use of sharp tools","11"," "," "," "," "," "," "," "
"Walking"," ","1"," "," "," ","10"," "," "
"Work only indoors","6"," "," "," "," "," "," ","5"
"Work outdoors > 2 hour","9"," "," "," "," "," "," ","2"
"Total","127","175","16","4","13","51","16","27"
