"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," ","1"
"Bending"," ","8"," "," "," ","1"," "," "
"By hand"," ","1"," "," ","1","6","1"," "
"Carrying less than 5 kg"," ","8","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","9"," "," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," "
"Exposure to chemicals","9"," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","8"," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," ","4"
"Exposure to strong odors","7"," "," "," "," "," "," ","2"
"Finger dexterity"," ","5","4"," "," "," "," "," "
"Grasping"," ","6","2","1"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","2","3"," "
"Keyboarding on phone"," ","6"," "," "," ","2","1"," "
"Kneeling/squatting"," ","8"," "," "," ","1"," "," "
"Lifting less than 5 kg"," ","9"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","9"," "," "," "," "," "," "
"Other climbing"," ","9"," "," "," "," "," "," "
"Pinching"," ","6","2","1"," "," "," "," "
"Pulling less than 5 kg"," ","9"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","9"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","9"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","9"," "," "," "," "," "," "
"Reaching"," ","6","3"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","3","2"," "
"Sitting (Intermittent)"," "," "," "," ","2","3","4"," "
"Stair climbing"," ","4"," "," "," ","5"," "," "
"Standing (Continuous)"," ","3"," "," "," ","6"," "," "
"Standing (Intermittent)"," ","1"," "," "," ","6","2"," "
"Travel via car required","7"," "," "," "," "," "," ","2"
"Travel via public transportation required","4"," "," "," "," "," "," ","5"
"Twisting /awkward posture"," ","7"," "," "," ","2"," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," "
"Walking"," ","1"," "," "," ","8"," "," "
"Work only indoors","5"," "," "," "," "," "," ","4"
"Work outdoors > 2 hour","7"," "," "," "," "," "," ","2"
"Total","103","143","12","2","10","45","13","23"
