"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","7"," "," "," "," "," ","2"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","3","5"," "," "," "
"Independent work"," "," ","7","1","1"," "," "
"Work at a fast pace"," ","3","3","3"," "," "," "
"Work under tight deadlines"," ","4"," ","5"," "," "," "
"Work with clients that speak little or no English","5"," "," "," "," "," ","4"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","6","2"
"Work with clients who may be aggressive","1"," "," "," "," ","2","6"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","7","1"
"Work with clients with cognitive deficits","2"," "," "," "," ","2","5"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9"," "
"Work with interdisciplinary team members"," "," ","4","5"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," "," ","3"
"Work with more than one preceptor"," ","5","2","2"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," "," "," "," "," "
"Work with other students"," ","6"," ","3"," "," "," "
"Total","23","28","19","24","1","26","23"
