"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," "," ","4"," "," "
"Follow multiple step commands","1"," "," "," ","2","1"
"Integrating new learning into practice"," ","1","1","2"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," ","2","1"
"Practicing good judgement and decision-making"," "," "," ","4"," "," "
"Problem solving"," "," ","1","3"," "," "
"Reading electronic documents"," ","1","1","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","1","2"," "," "
"Require instant recall of facts/data"," "," "," "," ","2","2"
"Self-starting/initiating"," ","2"," ","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","1"," ","3"," "," "
"Total","2","6","4","26","6","4"
