"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," "," ","5"," "," "
"Follow multiple step commands","1"," "," "," ","3","1"
"Integrating new learning into practice"," ","1","1","3"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," ","3","1"
"Practicing good judgement and decision-making"," "," "," ","5"," "," "
"Problem solving"," "," ","1","4"," "," "
"Reading electronic documents"," ","1","2","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","2","2"," "," "
"Require instant recall of facts/data"," "," "," "," ","3","2"
"Self-starting/initiating"," ","2"," ","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","1"," ","4"," "," "
"Total","2","6","6","33","9","4"
