"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "," "
"Bending"," ","2"," "," "," ","2"," ","1"," "
"By hand"," "," "," "," ","2","3"," "," "," "
"Carrying less than 5 kg"," ","3","1"," "," "," ","1"," "," "
"Carrying more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Congested/cluttered working areas","1"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","5"," "," "," "," "," "," "," "," "
"Finger dexterity"," ","1"," ","2"," "," ","2"," "," "
"Grasping"," ","1","1","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," "," ","3"," ","2"," "
"Keyboarding on phone"," ","5"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","2"," ","1"," "
"Lifting less than 5 kg"," ","1","1","2"," "," ","1"," "," "
"Lifting more than 5 kg"," ","2","3"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "," "
"Pinching"," ","2","1","1"," "," ","1"," "," "
"Pulling less than 5 kg"," ","3","1"," "," "," ","1"," "," "
"Pulling more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","1","3"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","2","2"," "," "," ","1"," "," "
"Reaching"," ","3"," ","1"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," "," ","3"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","2"," "," ","3"," "
"Stair climbing"," ","1"," "," "," ","3"," ","1"," "
"Standing (Continuous)"," ","2"," "," "," ","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","1"," ","2"," "
"Travel via car required","5"," "," "," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","2"," ","1"," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," "," ","2"," ","3"," "
"Work only indoors","2"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "," "
"Total","54","45","17","8","6","23","10","16","16"
