"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," "," ","3"," "," "," "
"By hand"," ","3"," "," "," ","3"," "," "," "
"Carrying less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","3","2"," "," "," ","1"," "," "
"Grasping"," ","2","2","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","2"," ","1"," "
"Keyboarding on phone"," ","6"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","4"," "," "," "
"Lifting less than 5 kg"," ","3","2","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","1","1"," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "," "
"Pinching"," ","3","3"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","4","1","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","3","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","2"," "," "," "," "," "," "
"Reaching"," ","2","2","2"," "," "," "," "," "
"Sitting (Continuous)"," ","2"," "," "," ","3"," ","1"," "
"Sitting (Intermittent)"," ","1"," "," ","1","2"," ","2"," "
"Stair climbing"," ","2"," "," ","1","3"," "," "," "
"Standing (Continuous)"," ","2"," "," ","1","2"," ","1"," "
"Standing (Intermittent)"," ","1"," "," "," ","3"," ","2"," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","1"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," ","1"
"Walking"," ","1"," "," "," ","4"," ","1"," "
"Work only indoors","2"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "," "
"Total","61","74","22","8","6","31","1","8","23"
