"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","9","6","16"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","6","13","12"," "," "
"Follow multiple step commands","2"," "," "," "," ","21","8"
"Integrating new learning into practice"," "," ","9","9","13"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","21","8"
"Practicing good judgement and decision-making"," "," ","8","3","20"," "," "
"Problem solving"," "," ","10","9","12"," "," "
"Reading electronic documents"," ","3","3","21","4"," "," "
"Reading paper documents (handwritten or typed)"," ","4","7","17","3"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","18","12"
"Self-starting/initiating"," ","1","14","8","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","9","9","13"," "," "
"Total","5","8","75","95","101","60","28"
