"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","28"," "," "," "," "," "," "," ","3"
"Bending"," ","4"," "," ","2","24"," ","1"," "
"By hand"," ","7"," "," ","6","18"," "," "," "
"Carrying less than 5 kg"," ","11","16","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","27","4"," "," "," "," "," "," "
"Congested/cluttered working areas","17"," "," "," "," "," "," "," ","14"
"Exposure to chemicals","26"," "," "," "," "," "," "," ","5"
"Exposure to excessive dust","30"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","23"," "," "," "," "," "," "," ","8"
"Exposure to extreme temperatures","29"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","10"," "," "," "," "," "," "," ","21"
"Exposure to insects or animals (e.g. bed bugs, cats)","29"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","21"," "," "," "," "," "," "," ","10"
"Finger dexterity"," ","3","14","8"," "," ","6"," "," "
"Grasping"," ","2","16","5"," "," ","8"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","6","19"," ","6"," "
"Keyboarding on phone"," ","29"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","6"," "," ","2","22"," ","1"," "
"Lifting less than 5 kg"," ","7","13","6"," "," ","5"," "," "
"Lifting more than 5 kg"," ","20","9","2"," "," "," "," "," "
"Other climbing"," ","29"," "," "," ","2"," "," "," "
"Pinching"," ","7","16","4"," "," ","4"," "," "
"Pulling less than 5 kg"," ","17","10","1"," "," ","3"," "," "
"Pulling more than 5 kg"," ","24","4","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","11","16","1"," "," ","3"," "," "
"Pushing more than 5 kg"," ","17","10","4"," "," "," "," "," "
"Reaching"," ","3","16","5"," "," ","7"," "," "
"Sitting (Continuous)"," ","8"," "," ","3","18"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","13","12"," ","6"," "
"Stair climbing"," ","12"," "," ","2","16"," ","1"," "
"Standing (Continuous)"," ","4"," "," ","8","15"," ","4"," "
"Standing (Intermittent)"," "," "," "," ","15","5"," ","11"," "
"Travel via car required","26"," "," "," "," "," "," "," ","5"
"Travel via public transportation required","31"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","15"," "," ","1","14"," ","1"," "
"Use of sharp tools","25"," "," "," "," "," "," "," ","6"
"Walking"," "," "," "," ","14","9"," ","8"," "
"Work only indoors","7"," "," "," "," "," "," "," ","24"
"Work outdoors > 1 hour","30"," "," "," "," "," "," "," ","1"
"Total","332","263","144","40","73","175","39","41","102"
