"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","12"," "," "," "," ","4","15"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","2","27","1"," "," "
"Independent work"," "," ","9","17","5"," "," "
"Work at a fast pace"," ","1","8","11","11"," "," "
"Work under tight deadlines"," ","3","7","17","4"," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","10","19"
"Work with clients who have experienced psychological trauma","10"," "," "," "," ","9","12"
"Work with clients who may be aggressive","9"," "," "," "," ","4","18"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","17","14"
"Work with clients with cognitive deficits","1"," "," "," "," ","22","8"
"Work with clients with multiple diagnoses"," "," "," "," "," ","29","2"
"Work with interdisciplinary team members"," "," ","7","20","4"," "," "
"Work with medically fragile clients and/or those at risk of dying","7"," "," "," "," ","11","13"
"Work with more than one preceptor"," ","17","4","7","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","8","5","16","2"," "," "
"Work with other students"," ","14","2","13","2"," "," "
"Total","41","44","44","128","32","106","101"
