"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," "," ","3"," "," "," "
"By hand"," ","3"," "," "," ","2"," "," "," "
"Carrying less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","2","2"," "," "," ","1"," "," "
"Grasping"," ","1","2","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","2"," "," "," "
"Keyboarding on phone"," ","5"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","4"," "," "," "
"Lifting less than 5 kg"," ","2","2","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","3","1","1"," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "," "
"Pinching"," ","2","3"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","3","1","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","2","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Reaching"," ","1","2","2"," "," "," "," "," "
"Sitting (Continuous)"," ","2"," "," "," ","2"," ","1"," "
"Sitting (Intermittent)"," ","1"," "," ","1","2"," ","1"," "
"Stair climbing"," ","2"," "," ","1","2"," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","2"," ","1"," "
"Standing (Intermittent)"," ","1"," "," "," ","2"," ","2"," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," ","1"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," ","1"," "," "," ","4"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "," "
"Total","49","57","21","8","6","27","1","5","21"
