"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","34"," "," "," "," "," "," "," ","4"
"Bending"," ","4"," "," ","2","31"," ","1"," "
"By hand"," ","9"," "," ","8","21"," "," "," "
"Carrying less than 5 kg"," ","14","20","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","34","4"," "," "," "," "," "," "
"Congested/cluttered working areas","22"," "," "," "," "," "," "," ","16"
"Exposure to chemicals","33"," "," "," "," "," "," "," ","5"
"Exposure to excessive dust","37"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","29"," "," "," "," "," "," "," ","9"
"Exposure to extreme temperatures","35"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","12"," "," "," "," "," "," "," ","26"
"Exposure to insects or animals (e.g. bed bugs, cats)","33"," "," "," "," "," "," "," ","5"
"Exposure to strong odors","24"," "," "," "," "," "," "," ","14"
"Finger dexterity"," ","5","17","10"," "," ","6"," "," "
"Grasping"," ","3","20","7"," "," ","8"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","8","24"," ","6"," "
"Keyboarding on phone"," ","36"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","7"," "," ","2","28"," ","1"," "
"Lifting less than 5 kg"," ","10","16","7"," "," ","5"," "," "
"Lifting more than 5 kg"," ","25","11","2"," "," "," "," "," "
"Other climbing"," ","36"," "," "," ","2"," "," "," "
"Pinching"," ","9","20","5"," "," ","4"," "," "
"Pulling less than 5 kg"," ","20","14","1"," "," ","3"," "," "
"Pulling more than 5 kg"," ","28","7","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","13","21","1"," "," ","3"," "," "
"Pushing more than 5 kg"," ","19","13","5"," "," ","1"," "," "
"Reaching"," ","4","20","6"," "," ","8"," "," "
"Sitting (Continuous)"," ","11"," "," ","4","21"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","16","16"," ","6"," "
"Stair climbing"," ","14"," "," ","2","21"," ","1"," "
"Standing (Continuous)"," ","5"," "," ","8","18"," ","7"," "
"Standing (Intermittent)"," "," "," "," ","18","6"," ","14"," "
"Travel via car required","33"," "," "," "," "," "," "," ","5"
"Travel via public transportation required","36"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","20"," "," ","1","16"," ","1"," "
"Use of sharp tools","30"," "," "," "," "," "," "," ","8"
"Walking"," "," "," "," ","16","11"," ","11"," "
"Work only indoors","8"," "," "," "," "," "," "," ","30"
"Work outdoors > 1 hour","37"," "," "," "," "," "," "," ","1"
"Total","403","326","183","48","86","216","41","50","129"
