"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","14"," "," "," "," ","7","17"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","3","33","1"," "," "
"Independent work"," "," ","11","22","5"," "," "
"Work at a fast pace"," ","2","11","12","13"," "," "
"Work under tight deadlines"," ","4","9","20","5"," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","11","25"
"Work with clients who have experienced psychological trauma","12"," "," "," "," ","9","17"
"Work with clients who may be aggressive","15"," "," "," "," ","5","18"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","20","18"
"Work with clients with cognitive deficits","1"," "," "," "," ","28","9"
"Work with clients with multiple diagnoses"," "," "," "," "," ","36","2"
"Work with interdisciplinary team members"," "," ","13","21","4"," "," "
"Work with medically fragile clients and/or those at risk of dying","9"," "," "," "," ","12","17"
"Work with more than one preceptor"," ","18","4","11","5"," "," "
"Work with Occupational Therapy Assistant(s)"," ","8","7","21","2"," "," "
"Work with other students"," ","18","2","16","2"," "," "
"Total","53","51","60","156","37","128","123"
