"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1","2","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","3","2"," "," "
"Follow multiple step commands","1"," "," "," ","4","1"
"Integrating new learning into practice"," ","1","2","3"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," ","4","1"
"Practicing good judgement and decision-making"," ","1","1","4"," "," "
"Problem solving"," ","1","2","3"," "," "
"Reading electronic documents"," "," ","5","1"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","1"," "," "
"Require instant recall of facts/data","1"," "," "," ","3","2"
"Self-starting/initiating"," ","2","2","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","1","2","3"," "," "
"Total","3","10","22","22","11","4"
