"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","6","5","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","8","7"," "," "
"Follow multiple step commands","1"," "," "," "," ","13","5"
"Integrating new learning into practice"," "," ","5","7","7"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","14","4"
"Practicing good judgement and decision-making"," "," ","6","2","11"," "," "
"Problem solving"," "," ","6","5","8"," "," "
"Reading electronic documents"," ","2","2","13","2"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","12","2"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","12","6"
"Self-starting/initiating"," "," ","10","6","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","6","6"," "," "
"Total","3","4","49","64","54","39","15"
