"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","7"," "," "," "," ","5","10"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","1","19"," "," "," "
"Independent work"," "," ","6","14","2"," "," "
"Work at a fast pace"," ","1","7","5","9"," "," "
"Work under tight deadlines"," ","2","7","12","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","8","14"
"Work with clients who have experienced psychological trauma","8"," "," "," "," ","3","11"
"Work with clients who may be aggressive","9"," "," "," "," ","3","10"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","11","10"
"Work with clients with cognitive deficits"," "," "," "," "," ","16","6"
"Work with clients with multiple diagnoses"," "," "," "," "," ","20","2"
"Work with interdisciplinary team members"," "," ","6","14","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","8","8"
"Work with more than one preceptor"," ","12","2","5","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","2","5","13","2"," "," "
"Work with other students"," ","9","1","12"," "," "," "
"Total","31","28","35","94","19","74","71"
