"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","7","4","9"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","3","10","7"," "," "
"Follow multiple step commands"," "," "," "," ","16","4"
"Integrating new learning into practice"," ","5","6","9"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","16","4"
"Practicing good judgement and decision-making"," ","6","3","11"," "," "
"Problem solving"," ","6","6","8"," "," "
"Reading electronic documents","2","2","13","3"," "," "
"Reading paper documents (handwritten or typed)","2","3","13","2"," "," "
"Require instant recall of facts/data"," "," "," "," ","12","8"
"Self-starting/initiating","1","9","5","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","8","6","6"," "," "
"Total","5","49","66","60","44","16"
