"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","7","5","12"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","1","3","10","10"," "," "
"Follow multiple step commands"," "," "," "," ","20","4"
"Integrating new learning into practice"," ","6","6","12"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","20","4"
"Practicing good judgement and decision-making"," ","6","3","15"," "," "
"Problem solving"," ","7","6","11"," "," "
"Reading electronic documents","3","2","16","3"," "," "
"Reading paper documents (handwritten or typed)","2","4","16","2"," "," "
"Require instant recall of facts/data"," "," "," "," ","15","9"
"Self-starting/initiating","1","9","7","7"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","8","7","9"," "," "
"Total","7","52","76","81","55","17"
