"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","22"," "," "," "," "," "," "," ","2"
"Bending"," ","1"," "," ","2","20"," ","1"," "
"By hand"," ","6"," "," ","5","13"," "," "," "
"Carrying less than 5 kg"," ","7","14","1"," "," ","2"," "," "
"Carrying more than 5 kg"," ","20","4"," "," "," "," "," "," "
"Congested/cluttered working areas","15"," "," "," "," "," "," "," ","9"
"Exposure to chemicals","22"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","23"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","19"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","21"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","18"
"Exposure to insects or animals (e.g. bed bugs, cats)","21"," "," "," "," "," "," "," ","3"
"Exposure to strong odors","17"," "," "," "," "," "," "," ","7"
"Finger dexterity"," ","2","11","7"," "," ","4"," "," "
"Grasping"," "," ","15","5"," "," ","4"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","17"," ","3"," "
"Keyboarding on phone"," ","22"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","19"," ","1"," "
"Lifting less than 5 kg"," ","6","12","3"," "," ","3"," "," "
"Lifting more than 5 kg"," ","16","6","2"," "," "," "," "," "
"Other climbing"," ","23"," "," "," ","1"," "," "," "
"Pinching"," ","4","14","4"," "," ","2"," "," "
"Pulling less than 5 kg"," ","13","9","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","18","4","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","9","14"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","12","8","3"," "," ","1"," "," "
"Reaching"," ","1","14","5"," "," ","4"," "," "
"Sitting (Continuous)"," ","6"," "," ","2","15"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","11","10"," ","3"," "
"Stair climbing"," ","9"," "," ","2","12"," ","1"," "
"Standing (Continuous)"," ","3"," "," ","7","10"," ","4"," "
"Standing (Intermittent)"," "," "," "," ","12","3"," ","9"," "
"Travel via car required","21"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","22"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","13"," "," ","1","9"," ","1"," "
"Use of sharp tools","18"," "," "," "," "," "," "," ","6"
"Walking"," "," "," "," ","12","5"," ","7"," "
"Work only indoors","5"," "," "," "," "," "," "," ","19"
"Work outdoors > 1 hour","24"," "," "," "," "," "," "," "," "
"Total","256","194","125","33","60","135","22","31","80"
