"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","9"," "," "," "," ","5","10"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","1","22"," "," "," "
"Independent work"," "," ","8","12","4"," "," "
"Work at a fast pace"," ","1","7","5","11"," "," "
"Work under tight deadlines"," ","2","6","11","5"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","7","17"
"Work with clients who have experienced psychological trauma","9"," "," "," "," ","5","10"
"Work with clients who may be aggressive","9"," "," "," "," ","2","13"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","14","10"
"Work with clients with cognitive deficits"," "," "," "," "," ","19","5"
"Work with clients with multiple diagnoses"," "," "," "," "," ","22","2"
"Work with interdisciplinary team members"," "," ","9","13","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," ","9","10"
"Work with more than one preceptor"," ","13","2","5","4"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3","6","15"," "," "," "
"Work with other students"," ","9","2","13"," "," "," "
"Total","32","29","41","96","26","83","77"
