"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," "," "," "
"Bending"," ","1"," "," "," ","1"," "," "," "
"By hand"," ","1"," "," ","1"," "," "," "," "
"Carrying less than 5 kg"," "," ","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","2"," "," "," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," "," "," "
"Exposure to chemicals","2"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","2"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," "," "
"Exposure to extreme temperatures","2"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," "," "," "
"Exposure to strong odors","1"," "," "," "," "," "," "," ","1"
"Finger dexterity"," "," ","1"," "," "," ","1"," "," "
"Grasping"," "," ","1","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2"," "," "," "," "
"Keyboarding on phone"," ","1"," "," ","1"," "," "," "," "
"Kneeling/squatting"," ","2"," "," "," "," "," "," "," "
"Lifting less than 5 kg"," ","1","1"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","2"," "," "," "," "," "," "," "
"Other climbing"," ","2"," "," "," "," "," "," "," "
"Pinching"," "," ","1","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","1","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","2"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","1","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2"," "," "," "," "," "," "," "
"Reaching"," "," ","1","1"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," "," ","1"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","1"," "," ","1"," "
"Stair climbing"," ","1"," "," "," ","1"," "," "," "
"Standing (Continuous)"," ","1"," "," "," ","1"," "," "," "
"Standing (Intermittent)"," "," "," "," ","1","1"," "," "," "
"Travel via car required","1"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","2"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," "," "," "," "," "
"Use of sharp tools","2"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","1"," "," "," "
"Work only indoors"," "," "," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","2"," "," "," "," "," "," "," "," "
"Total","23","22","9","3","7","6","1","2","5"
