"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","1"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","3"," "," "
"Follow multiple step commands"," "," "," ","4","1"
"Integrating new learning into practice","1","3","1"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","4","1"
"Practicing good judgement and decision-making","1"," ","4"," "," "
"Problem solving","2","1","2"," "," "
"Reading electronic documents","2","2","1"," "," "
"Reading paper documents (handwritten or typed)","1","3","1"," "," "
"Require instant recall of facts/data"," "," "," ","3","2"
"Self-starting/initiating"," ","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","1","4"," "," "
"Total","8","14","23","11","4"
