"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","2","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","2","1"," "," "
"Follow multiple step commands"," "," "," "," "," ","4","1"
"Integrating new learning into practice"," "," "," ","3","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4","1"
"Practicing good judgement and decision-making"," "," ","1","1","3"," "," "
"Problem solving"," "," ","2","1","2"," "," "
"Reading electronic documents"," ","1"," ","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","4"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3","1"
"Self-starting/initiating"," "," ","1","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","2"," "," "
"Total","1","1","9","19","16","11","3"
