"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","3"," "," "," "
"By hand"," ","1"," "," ","2","2"," "," "," "
"Carrying less than 5 kg"," ","1","4"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","3"," "," "," ","2"," "," "
"Grasping"," "," ","4","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","2"," "," "," "
"Keyboarding on phone"," ","2"," "," ","1","2"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","1"," "," "," "
"Lifting less than 5 kg"," ","1","2","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","3","1","1"," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "," "
"Pinching"," "," ","4","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","3"," "," "," "," "," "," "
"Reaching"," "," ","4","1"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," ","2","2"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","4"," "," ","1"," "
"Stair climbing"," ","1"," "," "," ","4"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","2"," "," "," "
"Standing (Intermittent)"," "," "," "," ","4","1"," "," "," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," "," ","2"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","3","2"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","4"," "," "," "," "," "," "," ","1"
"Total","50","39","30","5","22","24","3","2","20"
