"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," ","1"
"Bending"," "," "," ","2","3"," "," "," "
"By hand"," "," "," "," ","5"," "," "," "
"Carrying less than 5 kg"," ","1","3"," "," ","1"," "," "
"Carrying more than 5 kg"," ","4","1"," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," ","3"
"Exposure to chemicals","4"," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","2"," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," ","3"
"Exposure to strong odors","2"," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","4"," "," ","1"," "," "
"Grasping"," "," ","4"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4"," "," "," "
"Keyboarding on phone"," ","2"," "," ","3"," "," "," "
"Kneeling/squatting"," ","1"," ","1","3"," "," "," "
"Lifting less than 5 kg"," "," ","4"," "," ","1"," "," "
"Lifting more than 5 kg"," ","4","1"," "," "," "," "," "
"Other climbing"," ","4"," "," ","1"," "," "," "
"Pinching"," "," ","4"," "," ","1"," "," "
"Pulling less than 5 kg"," ","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","3","2"," "," "," "," "," "
"Reaching"," "," ","4"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," ","2","2"," "," "," "
"Sitting (Intermittent)"," "," "," ","2","2"," ","1"," "
"Stair climbing"," "," "," ","1","4"," "," "," "
"Standing (Continuous)"," ","1"," ","2","1"," ","1"," "
"Standing (Intermittent)"," "," "," ","2","2"," ","1"," "
"Travel via car required","4"," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," ","3"," "," "," "
"Use of sharp tools","3"," "," "," "," "," "," ","2"
"Walking"," "," "," ","2","3"," "," "," "
"Work only indoors","4"," "," "," "," "," "," ","1"
"Work outdoors > 5 hour","3"," "," "," "," "," "," ","2"
"Total","42","37","29","14","36","6","3","28"
