"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "
"Bending"," "," "," ","1","2"," "," "
"By hand"," "," "," "," ","3"," "," "
"Carrying less than 5 kg"," "," ","3"," "," "," "," "
"Carrying more than 5 kg"," ","2","1"," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," ","1"
"Exposure to chemicals","2"," "," "," "," "," ","1"
"Exposure to excessive dust","3"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," ","1"
"Exposure to extreme temperatures","2"," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","1"," "," "," "," "," ","2"
"Exposure to strong odors","2"," "," "," "," "," ","1"
"Finger dexterity"," "," ","3"," "," "," "," "
"Grasping"," "," ","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3"," "," "
"Keyboarding on phone"," ","1"," "," ","2"," "," "
"Kneeling/squatting"," ","1"," "," ","2"," "," "
"Lifting less than 5 kg"," "," ","3"," "," "," "," "
"Lifting more than 5 kg"," ","3"," "," "," "," "," "
"Other climbing"," ","3"," "," "," "," "," "
"Pinching"," "," ","3"," "," "," "," "
"Pulling less than 5 kg"," ","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","2","1"," "," "," "," "
"Pushing more than 5 kg"," ","3"," "," "," "," "," "
"Reaching"," "," ","3"," "," "," "," "
"Sitting (Continuous)"," ","1"," ","1","1"," "," "
"Sitting (Intermittent)"," "," "," ","1","1","1"," "
"Stair climbing"," "," "," ","1","2"," "," "
"Standing (Continuous)"," ","1"," ","1","1"," "," "
"Standing (Intermittent)"," "," "," ","1","2"," "," "
"Travel via car required","2"," "," "," "," "," ","1"
"Travel via public transportation required","2"," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," ","1"," "," "
"Use of sharp tools","2"," "," "," "," "," ","1"
"Walking"," "," "," ","1","2"," "," "
"Work only indoors","3"," "," "," "," "," "," "
"Work outdoors > 1 hour","2"," "," "," "," "," ","1"
"Total","29","25","20","7","22","1","13"
