"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","2","3"," "," "
"By hand"," "," "," "," "," ","5"," "," "
"Carrying less than 5 kg"," ","1","4"," "," "," "," "," "
"Carrying more than 5 kg"," ","4","1"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","2"
"Exposure to chemicals","4"," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","3"," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," ","3"
"Exposure to strong odors","3"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","4","1"," "," "," "," "
"Grasping"," "," ","4","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","4"," "," "
"Keyboarding on phone"," ","1"," "," "," ","4"," "," "
"Kneeling/squatting"," ","1"," "," ","1","3"," "," "
"Lifting less than 5 kg"," "," ","5"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","1"," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "
"Pinching"," "," ","4","1"," "," "," "," "
"Pulling less than 5 kg"," ","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","1"," "," "," "," "," "
"Reaching"," "," ","4","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","1"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","1","2"," "
"Stair climbing"," "," "," "," ","1","4"," "," "
"Standing (Continuous)"," ","1"," "," ","2","2"," "," "
"Standing (Intermittent)"," "," "," "," ","2","3"," "," "
"Travel via car required","4"," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","2"," "," "
"Use of sharp tools","4"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","3"," "," "
"Work only indoors","4"," "," "," "," "," "," ","1"
"Work outdoors > 5 hour","3"," "," "," "," "," "," ","2"
"Total","48","38","30","4","15","36","2","22"
