"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","10"," "," "," "," "," "," "," ","1"
"Bending"," ","2"," "," ","2","7"," "," "," "
"By hand"," ","1"," "," ","2","8"," "," "," "
"Carrying less than 5 kg"," ","5","4","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","9","2"," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","9"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","9"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","5"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","4","5"," "," "," ","2"," "," "
"Grasping"," ","3","6"," "," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","8"," "," "," "
"Keyboarding on phone"," ","8"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","7"," "," "," "
"Lifting less than 5 kg"," ","3","6","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","8","3"," "," "," "," "," "," "
"Other climbing"," ","9"," "," "," ","2"," "," "," "
"Pinching"," ","3","6"," "," "," ","2"," "," "
"Pulling less than 5 kg"," ","7","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","7","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","7","4"," "," "," "," "," "," "
"Reaching"," ","3","5","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","5"," "," ","2","4"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","4","5"," ","1"," "
"Stair climbing"," ","3"," "," ","1","7"," "," "," "
"Standing (Continuous)"," ","4"," "," ","3","3"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","5","3"," ","2"," "
"Travel via car required","10"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","10"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","6"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","2"
"Walking"," ","1"," "," ","4","5"," ","1"," "
"Work only indoors","4"," "," "," "," "," "," "," ","7"
"Work outdoors > 5 hour","9"," "," "," "," "," "," "," ","2"
"Total","106","109","54","3","26","68","10","5","48"
