"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","3"," "," "
"By hand"," ","1"," "," "," ","5"," "," "
"Carrying less than 5 kg"," ","3","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," ","2"
"Exposure to chemicals","6"," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," ","1"
"Exposure to strong odors","5"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","4","1"," "," "," "," "
"Grasping"," ","1","4","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","1","4"," "," "
"Keyboarding on phone"," ","3"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","2","4"," "," "
"Lifting less than 5 kg"," ","1","4","1"," "," "," "," "
"Lifting more than 5 kg"," ","4","2"," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "
"Pinching"," ","2","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","5","1"," "," "," "," "," "
"Pulling more than 6 kg"," ","4","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","2"," "," "," "," "," "
"Reaching"," ","1","4","1"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","2","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","3","1"," "
"Stair climbing"," ","2"," "," "," ","4"," "," "
"Standing (Continuous)"," ","1"," "," ","1","4"," "," "
"Standing (Intermittent)"," "," "," "," ","2","4"," "," "
"Travel via car required","6"," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," ","1","2"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","4"," "," "
"Work only indoors","2"," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","5"," "," "," "," "," "," ","1"
"Total","66","55","31","5","15","43","1","18"
