"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," ","2","4"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","9"," "," "," "
"Independent work"," "," ","4","4","2"," "," "
"Work at a fast pace"," ","1","4","3","2"," "," "
"Work under tight deadlines"," ","3","3","3","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","3","7"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","2","5"
"Work with clients who may be aggressive","4"," "," "," "," "," ","6"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","8","2"
"Work with clients with cognitive deficits"," "," "," "," "," ","7","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","2"
"Work with interdisciplinary team members"," "," ","2","6","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","5","3"
"Work with more than one preceptor"," ","6","1","2","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," ","1"," "," "," "
"Work with other students"," ","3","1","5","1"," "," "
"Total","13","23","15","33","9","35","32"
