"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","3"," "," "
"By hand"," ","1"," "," "," ","5"," "," "
"Carrying less than 5 kg"," ","2","4"," "," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," ","1"
"Exposure to chemicals","6"," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," ","1"
"Exposure to strong odors","5"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","4","1"," "," "," "," "
"Grasping"," ","1","4","1"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","5"," "," "
"Keyboarding on phone"," ","4"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","1","5"," "," "
"Lifting less than 5 kg"," ","1","4","1"," "," "," "," "
"Lifting more than 5 kg"," ","5","1"," "," "," "," "," "
"Other climbing"," ","6"," "," "," "," "," "," "
"Pinching"," ","2","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","5","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","5","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","1"," "," "," "," "," "
"Reaching"," ","1","4","1"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","2","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","3","1"," "
"Stair climbing"," ","2"," "," ","1","3"," "," "
"Standing (Continuous)"," ","1"," "," ","1","4"," "," "
"Standing (Intermittent)"," "," "," "," ","2","4"," "," "
"Travel via car required","6"," "," "," "," "," "," "," "
"Travel via public transportation required","5"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," ","1","1"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","4"," "," "
"Work only indoors","2"," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "
"Total","69","58","30","5","15","41","1","15"
