"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","1","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","6","1"," "," "
"Independent work"," "," ","2","3","3"," "," "
"Work at a fast pace"," ","2","3","2","1"," "," "
"Work under tight deadlines"," ","4","2","1","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","3","4"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","5","2"
"Work with clients who may be aggressive","3"," "," "," "," ","1","4"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","8"," "
"Work with clients with cognitive deficits","1"," "," "," "," ","7"," "
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","1"
"Work with interdisciplinary team members"," "," ","2","5","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","3","3"
"Work with more than one preceptor"," ","2","2","1","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","8"," "," "," "," "," "
"Work with other students"," ","2","1","4","1"," "," "
"Total","11","18","13","22","11","35","18"
