"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," ","1","4"," "," "," "
"By hand"," ","1"," "," "," ","7"," "," "," "
"Carrying less than 5 kg"," ","2","5"," "," "," ","1"," "," "
"Carrying more than 5 kg"," ","7","1"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","7"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","8"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","2","4","1"," "," ","1"," "," "
"Grasping"," ","2","3","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","5"," "," "," "
"Keyboarding on phone"," ","5"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","5"," "," "," ","3"," "," "," "
"Lifting less than 5 kg"," ","2","5"," "," "," ","1"," "," "
"Lifting more than 5 kg"," ","8"," "," "," "," "," "," "," "
"Other climbing"," ","7"," "," "," ","1"," "," "," "
"Pinching"," ","3","4"," "," "," ","1"," "," "
"Pulling less than 5 kg"," ","6","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","8"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","7","1"," "," "," "," "," "," "
"Reaching"," ","2","4","1"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," ","1","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","1","4"," ","3"," "
"Stair climbing"," "," "," "," ","1","7"," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","5"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","5"," ","1"," "
"Travel via car required","7"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","7"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","3"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","2","6"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," ","1"
"Total","80","83","32","4","12","57","6","6","32"
