"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","1","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","6"," "," "," "
"Independent work"," "," ","3","4","1"," "," "
"Work at a fast pace"," ","1","3","2","2"," "," "
"Work under tight deadlines"," ","3","2","2","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","4","4"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","4","3"
"Work with clients who may be aggressive","2"," "," "," "," "," ","6"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","8"," "
"Work with clients with cognitive deficits"," "," "," "," "," ","8"," "
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","1"
"Work with interdisciplinary team members"," "," ","2","6"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","4","3"
"Work with more than one preceptor"," ","4","1","1","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," ","2"," "," "," "
"Work with other students"," ","2","1","4","1"," "," "
"Total","7","16","14","27","7","36","21"
