"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," "," ","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","6","2"," "," "
"Independent work"," "," ","4","2","4"," "," "
"Work at a fast pace"," ","4","4","2"," "," "," "
"Work under tight deadlines"," ","6","3","1"," "," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","3","5"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","7","2"
"Work with clients who may be aggressive","4"," "," "," "," ","1","5"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","10"," "
"Work with clients with cognitive deficits","2"," "," "," "," ","7","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9","1"
"Work with interdisciplinary team members"," "," ","3","5","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","3","3"
"Work with more than one preceptor"," ","2","3","2","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","10"," "," "," "," "," "
"Work with other students"," ","2","2","5","1"," "," "
"Total","19","24","21","23","12","40","21"
