"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "
"Bending"," "," "," ","3","1"," "," "
"By hand"," "," "," "," ","4"," "," "
"Carrying less than 5 kg"," ","2","2"," "," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "
"Exposure to infectious agents/disease"," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," ","1"
"Finger dexterity"," "," ","4"," "," "," "," "
"Grasping"," "," ","4"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","2","2"," "," "
"Keyboarding on phone"," ","3"," "," ","1"," "," "
"Kneeling/squatting"," "," "," ","2","2"," "," "
"Lifting less than 5 kg"," ","1","3"," "," "," "," "
"Lifting more than 5 kg"," ","4"," "," "," "," "," "
"Other climbing"," ","4"," "," "," "," "," "
"Pinching"," ","1","3"," "," "," "," "
"Pulling less than 5 kg"," ","4"," "," "," "," "," "
"Pulling more than 5 kg"," ","4"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "
"Pushing more than 5 kg"," ","4"," "," "," "," "," "
"Reaching"," "," ","4"," "," "," "," "
"Sitting (Continuous)"," ","1"," ","1","2"," "," "
"Sitting (Intermittent)"," "," "," ","2","2"," "," "
"Stair climbing"," "," "," ","1","2","1"," "
"Standing (Continuous)"," ","1"," ","2","1"," "," "
"Standing (Intermittent)"," "," "," ","2","1","1"," "
"Travel via car required","4"," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," ","1"
"Twisting /awkward posture"," ","1"," ","1","2"," "," "
"Use of sharp tools","4"," "," "," "," "," "," "
"Walking"," "," "," ","2","1","1"," "
"Work only indoors","2"," "," "," "," "," ","2"
"Work outdoors > 4 hour","4"," "," "," "," "," "," "
"Total","45","36","22","18","21","3","11"
