"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","1","3"," "," "
"By hand"," ","1"," "," "," ","3"," "," "
"Carrying less than 5 kg"," "," ","3","1"," "," "," "," "
"Carrying more than 5 kg"," ","2","2"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","3","1"," "," "," "," "
"Grasping"," "," ","2","2"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," "," ","4"," "," "
"Keyboarding on phone"," ","2"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," "," ","4"," "," "
"Lifting less than 5 kg"," "," ","3","1"," "," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","1"," "," "
"Pinching"," "," ","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","3"," ","1"," "," "," "," "
"Pulling more than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","2","1","1"," "," "," "," "
"Pushing more than 5 kg"," ","3","1"," "," "," "," "," "
"Reaching"," "," ","2","2"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","1"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","2","1"," "
"Stair climbing"," "," "," "," ","1","3"," "," "
"Standing (Continuous)"," ","1"," "," ","1","2"," "," "
"Standing (Intermittent)"," "," "," "," ","1","3"," "," "
"Travel via car required","4"," "," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","2"," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","3"," "," "
"Work only indoors","2"," "," "," "," "," "," ","2"
"Work outdoors > 4 hour","4"," "," "," "," "," "," "," "
"Total","45","26","22","10","8","33","1","11"
