"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ",1,"1",3,2," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ",1,"2",2,1,"1"
"Follow multiple step commands","1"," ",3," ",2,1," "
"Integrating new learning into practice"," "," ",1,"1",3,2," "
"Memory aids can be used (e.g. information sheets)"," "," ",2,"2",1,2," "
"Practicing good judgement and decision-making"," ","1",1,"1",2,2," "
"Problem solving"," "," ",2,"2",1,2," "
"Reading electronic documents"," "," ",2,"1",3,1," "
"Reading paper documents (handwritten or typed)"," "," ",2,"3",1,1," "
"Require instant recall of facts/data"," "," ",1,"1",3,2," "
"Self-starting/initiating"," "," ",2," ",3,2," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ",2,"2",2,1," "
"Total","1","1",20,"16",26,19,"1"
