"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," ","1"," "," ","1","1","1"," "
"Bending","2"," "," ","1"," ","2","1"," ","1"
"By hand","2","2"," "," ","1","1"," "," ","1"
"Carrying less than 5 kg","2","1","2"," "," ","1","1"," "," "
"Carrying more than 5 kg","2","1","1"," ","2"," ","1"," "," "
"Congested/cluttered working areas","3","1","1"," "," ","2"," "," "," "
"Exposure to chemicals","2"," ","1","1","1","1"," "," ","1"
"Exposure to excessive dust","2","2","1"," "," ","1"," "," ","1"
"Exposure to excessive noise /auditory distractions","2","1","1"," "," ","1","1"," ","1"
"Exposure to extreme temperatures","3","2","1"," "," ","1"," "," "," "
"Exposure to infectious agents/disease","2"," ","2"," ","1","1"," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","2","1","1"," "," ","1"," ","1","1"
"Exposure to strong odors","2"," ","1"," "," ","2","1"," ","1"
"Finger dexterity","1","2","1"," "," ","2"," "," ","1"
"Grasping","2","2","1"," "," ","2"," "," "," "
"Keyboarding on computer or tablet","2","1"," "," "," ","1","1","1","1"
"Keyboarding on phone","2","1","1"," ","1","1"," "," ","1"
"Kneeling/squatting","2","2"," ","1"," ","1"," "," ","1"
"Lifting less than 5 kg"," "," ","3"," "," ","1"," ","1","2"
"Lifting more than 5 kg","2","2","1"," ","1","1"," "," "," "
"Other climbing","1","2","1","1"," ","1"," "," ","1"
"Pinching","1","3"," "," "," ","2"," "," ","1"
"Pulling less than 5 kg","1","1"," ","1"," ","3"," "," ","1"
"Pulling more than 5 kg","1","2"," ","1","2"," "," "," ","1"
"Pushing less than 5 kg","1","3"," ","1"," ","1"," "," ","1"
"Pushing more than 5 kg","1","1","1"," "," ","2","1"," ","1"
"Reaching"," ","1","1"," ","1","2"," "," ","2"
"Sitting (Continuous)","1","3","1"," "," ","1"," "," ","1"
"Sitting (Intermittent)","2","1","2"," "," ","2"," "," "," "
"Stair climbing","1","1","1"," "," ","2","1"," ","1"
"Standing (Continuous)","1","1","2"," "," ","2"," "," ","1"
"Standing (Intermittent)","1","2","2"," ","1"," "," "," ","1"
"Travel via car required","3"," ","2"," "," ","2"," "," "," "
"Travel via public transportation required","3"," ","1"," "," ","2","1"," "," "
"Twisting /awkward posture","2"," ","1","1","1","1"," "," ","1"
"Use of sharp tools","3","1"," ","1","1","1"," "," "," "
"Walking","1","2","1"," "," ","2"," "," ","1"
"Work only indoors","3","2","1"," ","1"," "," "," "," "
"Work outdoors > 1 hour","3","2"," "," ","1","1"," "," "," "
"Total","70","49","37","9","15","51","10","4","28"
