"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","2","2"," "," "
"Follow multiple step commands"," "," "," "," "," ","5","1"
"Integrating new learning into practice"," "," ","2","1","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6"," "
"Practicing good judgement and decision-making"," "," ","1","2","3"," "," "
"Problem solving"," "," ","3"," ","3"," "," "
"Reading electronic documents"," ","1","2","3"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","3","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","3","1"
"Self-starting/initiating"," "," ","3","2","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","2","1"," "," "
"Total","2","1","20","15","18","14","2"
