"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","1","2",1,"1"
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","2"," ",1,"1"
"Follow multiple step commands"," "," ","3","2","1",2," "
"Integrating new learning into practice"," "," ","3"," ","3",2," "
"Memory aids can be used (e.g. information sheets)"," ","1","1","2","2",2," "
"Practicing good judgement and decision-making","1"," ","1","2","3",1," "
"Problem solving"," "," ","4","2"," ",2," "
"Reading electronic documents"," "," ","2","2","2",2," "
"Reading paper documents (handwritten or typed)"," "," "," ","3","3",2," "
"Require instant recall of facts/data"," "," ","4","2"," ",2," "
"Self-starting/initiating"," "," ","5"," ","1",2," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3"," ","3",2," "
"Total","1","1","33","18","20",21,"2"
