"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2"," ","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","1","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","5"," "
"Integrating new learning into practice"," "," "," ","1","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4","1"
"Practicing good judgement and decision-making"," "," "," ","1","4"," "," "
"Problem solving"," "," ","2"," ","3"," "," "
"Reading electronic documents"," ","2","1","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","2","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3","1"
"Self-starting/initiating"," "," ","2","1","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","2","2"," "," "
"Total","1","2","11","10","22","12","2"
