"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3"," ","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","1","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","5"," "
"Integrating new learning into practice"," "," "," ","2","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","3","3"
"Practicing good judgement and decision-making"," "," "," ","2","4"," "," "
"Problem solving"," "," ","3"," ","3"," "," "
"Reading electronic documents"," ","2","2","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","4","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","4","1"
"Self-starting/initiating"," "," ","1","3","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","2","3"," "," "
"Total","2","2","12","16","24","12","4"
