"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3"," ","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","1","2"," "," "
"Follow multiple step commands"," "," "," "," "," ","4"," "
"Integrating new learning into practice"," "," "," ","2","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","2","2"
"Practicing good judgement and decision-making"," "," "," ","2","2"," "," "
"Problem solving"," "," ","3"," ","1"," "," "
"Reading electronic documents"," ","2","1","1"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","2","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3"," "
"Self-starting/initiating"," "," ","1","2","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","2","1"," "," "
"Total","1","2","11","12","11","9","2"
