"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","1","2","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","2","1"," "," "
"Follow multiple step commands"," "," "," "," "," ","3","2"
"Integrating new learning into practice"," "," "," ","3","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","5"," "
"Practicing good judgement and decision-making"," "," ","2","1","2"," "," "
"Problem solving"," "," ","2","1","2"," "," "
"Reading electronic documents"," ","2","1","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","3","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","1","2"
"Self-starting/initiating"," "," ","1","2","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","1","1"," "," "
"Total","2","2","13","17","13","9","4"
