"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","3","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","3","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","8","2"
"Integrating new learning into practice"," "," ","2","5","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","1"
"Practicing good judgement and decision-making"," "," ","5","1","4"," "," "
"Problem solving"," "," ","7","1","2"," "," "
"Reading electronic documents"," ","2","3","5"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","7","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","6","1"
"Self-starting/initiating"," "," ","3","4","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","5","1","4"," "," "
"Total","3","2","35","30","23","23","4"
