"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","1","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","6"," "," "," "
"Independent work"," "," ","4","1","2"," "," "
"Work at a fast pace"," ","1","3","2","1"," "," "
"Work under tight deadlines"," ","4"," ","3"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","3","3"
"Work with clients who have experienced psychological trauma","5"," "," "," "," "," ","2"
"Work with clients who may be aggressive","7"," "," "," "," "," "," "
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","4","3"
"Work with clients with cognitive deficits"," "," "," "," "," ","5","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","5","2"
"Work with interdisciplinary team members"," "," ","1","4","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","5","1"
"Work with more than one preceptor"," ","1","2","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," ","1"," "," "," "
"Work with other students"," ","2","1","3","1"," "," "
"Total","16","14","12","22","8","23","17"
