"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","4","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","10","1"
"Integrating new learning into practice"," "," ","4","4","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","2"
"Practicing good judgement and decision-making"," "," ","6","1","4"," "," "
"Problem solving"," "," ","8","1","2"," "," "
"Reading electronic documents"," ","1","5","5"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","7","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","8","1"
"Self-starting/initiating"," "," ","3","6","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","6","1","4"," "," "
"Total","2","1","44","31","23","27","4"
