"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","2","4"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","2","8"," "," "," "
"Independent work"," "," ","5","5","1"," "," "
"Work at a fast pace"," ","1","5","2","3"," "," "
"Work under tight deadlines"," ","3","3","4","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","5","6"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","4","4"
"Work with clients who may be aggressive","3"," "," "," "," "," ","8"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","9","2"
"Work with clients with cognitive deficits"," "," "," "," "," ","9","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9","2"
"Work with interdisciplinary team members"," "," ","2","7","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","6","3"
"Work with more than one preceptor"," ","6","1","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," ","2"," "," "," "
"Work with other students"," ","4","1","5","1"," "," "
"Total","13","24","19","35","10","44","31"
