"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","2","4"," "," "
"By hand"," ","1"," "," "," ","5"," "," "
"Carrying less than 5 kg"," ","2","4"," "," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","3"
"Exposure to chemicals","5"," "," "," "," "," "," ","1"
"Exposure to excessive dust","5"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," ","4"
"Exposure to strong odors","3"," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","4","1"," "," "," "," "
"Grasping"," ","1","4","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","1","4"," "," "
"Keyboarding on phone"," ","2"," "," "," ","4"," "," "
"Kneeling/squatting"," ","2"," "," ","1","3"," "," "
"Lifting less than 5 kg"," ","1","5"," "," "," "," "," "
"Lifting more than 5 kg"," ","5","1"," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "
"Pinching"," ","1","4","1"," "," "," "," "
"Pulling less than 5 kg"," ","6"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","5","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","1"," "," "," "," "," "
"Reaching"," ","1","4","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","3","1","2"," "
"Stair climbing"," ","1"," "," ","1","4"," "," "
"Standing (Continuous)"," ","1"," "," ","2","3"," "," "
"Standing (Intermittent)"," "," "," "," ","2","4"," "," "
"Travel via car required","4"," "," "," "," "," "," ","2"
"Travel via public transportation required","4"," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","3"," "," "," ","3"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","4"," "," "
"Work only indoors","5"," "," "," "," "," "," ","1"
"Work outdoors > 5 hour","3"," "," "," "," "," "," ","3"
"Total","55","55","30","4","17","42","2","29"
