"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","4","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","1","3","2"," "," "
"Follow multiple step commands","1"," "," "," "," ","4","2"
"Integrating new learning into practice"," "," ","2","3","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","7"," "
"Practicing good judgement and decision-making"," "," ","3","1","3"," "," "
"Problem solving"," "," ","4","2","1"," "," "
"Reading electronic documents"," ","3","1","3"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","6","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","2","2"
"Self-starting/initiating"," "," ","1","3","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","1","3"," "," "
"Total","4","4","17","26","16","13","4"
