"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," "," ","3"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","6"," "," "," "
"Independent work"," "," ","3","2","2"," "," "
"Work at a fast pace"," ","2","2","3"," "," "," "
"Work under tight deadlines"," ","4","1","2"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","4","3"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","4","2"
"Work with clients who may be aggressive","2"," "," "," "," "," ","5"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","7"," "
"Work with clients with cognitive deficits","1"," "," "," "," ","6"," "
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","1"
"Work with interdisciplinary team members"," "," ","1","6"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","3"," "," "," "," ","2","2"
"Work with more than one preceptor"," ","1","1","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7"," "," "," "," "," "
"Work with other students"," ","1","2","3","1"," "," "
"Total","11","15","11","25","5","29","16"
