"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","3","2"," "," "
"Follow multiple step commands"," "," "," "," "," ","5","2"
"Integrating new learning into practice"," "," ","2","2","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","1"
"Practicing good judgement and decision-making"," "," ","1","3","3"," "," "
"Problem solving"," "," ","3","1","3"," "," "
"Reading electronic documents"," ","1","2","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","4","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","3","2"
"Self-starting/initiating"," "," ","3","3","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","3","1"," "," "
"Total","2","1","21","23","18","14","5"
