"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "," "
"Bending"," ","1"," "," "," ","2"," "," "
"By hand"," ","1"," "," ","1","1"," "," "
"Carrying less than 5 kg"," ","1","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","3"," "," "," "," "," "," "
"Congested/cluttered working areas","1"," "," "," "," "," "," ","2"
"Exposure to chemicals","2"," "," "," "," "," "," ","1"
"Exposure to excessive dust","3"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," "
"Exposure to strong odors","1"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","2","1"," "," "," "," "
"Grasping"," "," ","1","2"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","1"," "," "
"Keyboarding on phone"," ","3"," "," "," "," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","1"," "," "
"Lifting less than 5 kg"," "," ","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","3"," "," "," "," "," "," "
"Other climbing"," ","2"," "," "," ","1"," "," "
"Pinching"," ","1","2"," "," "," "," "," "
"Pulling less than 5 kg"," "," ","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","2","1"," "," "," "," "," "
"Pushing less than 5 kg"," "," ","3"," "," "," "," "," "
"Pushing more than 5 kg"," ","3"," "," "," "," "," "," "
"Reaching"," "," ","2","1"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," "," ","1"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","1","1"," "
"Stair climbing"," ","1"," "," "," ","2"," "," "
"Standing (Continuous)"," ","1"," "," "," ","2"," "," "
"Standing (Intermittent)"," "," "," "," ","2","1"," "," "
"Travel via car required","3"," "," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," ","2"," "," "
"Use of sharp tools","3"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","2"," "," "
"Work only indoors"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "," "
"Total","31","27","19","4","7","17","1","11"
