"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","1","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","6","1"
"Integrating new learning into practice"," "," "," ","3","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","7"," "
"Practicing good judgement and decision-making"," "," ","2","1","4"," "," "
"Problem solving"," "," ","4"," ","3"," "," "
"Reading electronic documents"," ","2","1","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","4","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","5"," "
"Self-starting/initiating"," "," ","2","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","4"," "," "
"Total","2","2","18","16","27","18","1"
