"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","2","2"," "," "
"Follow multiple step commands"," "," "," "," "," ","7"," "
"Integrating new learning into practice"," "," ","2","2","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","1"
"Practicing good judgement and decision-making"," "," ","3","1","3"," "," "
"Problem solving"," "," ","5"," ","2"," "," "
"Reading electronic documents"," ","1","3","3"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","3","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","6"," "
"Self-starting/initiating"," "," ","2","3","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","1","3"," "," "
"Total","1","1","27","15","20","19","1"
