"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","2"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","1"," ","5"," "," "
"Follow multiple step commands"," "," "," ","4","2"
"Integrating new learning into practice","2","1","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","5","1"
"Practicing good judgement and decision-making","1"," ","5"," "," "
"Problem solving","2"," ","4"," "," "
"Reading electronic documents","3","2","1"," "," "
"Reading paper documents (handwritten or typed)","2","3","1"," "," "
"Require instant recall of facts/data"," "," "," ","4","2"
"Self-starting/initiating","1","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)","1","2","3"," "," "
"Total","15","10","29","13","5"
