"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "," "
"Bending"," "," "," "," ","2","4"," "," "," "
"By hand"," ","1"," "," ","2","3"," "," "," "
"Carrying less than 5 kg"," "," ","4","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","1","4","1"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","3"," "," "," "," "," "," "," ","3"
"Exposure to excessive dust","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","2","2"," "," "," ","2"," "," "
"Grasping"," ","1","4","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","3"," "," "," "
"Keyboarding on phone"," ","5"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," "," ","6"," "," "," "
"Lifting less than 5 kg"," "," ","5","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","2","4"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "," "
"Pinching"," ","2","4"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","2","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","1","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","1","5"," "," "," "," "," "," "
"Reaching"," ","2","4"," "," "," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","2","1"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","3","2"," "," "," "
"Stair climbing"," ","3"," "," "," ","3"," "," "," "
"Standing (Continuous)"," ","2"," "," ","2","2"," "," "," "
"Standing (Intermittent)"," "," "," "," ","4","2"," "," "," "
"Travel via car required","6"," "," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," ","5"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," "," ","3"," ","3"," "
"Work only indoors","1"," "," "," "," "," "," "," ","5"
"Work outdoors > 2 hour","6"," "," "," "," "," "," "," "," "
"Total","60","38","48","5","18","36","2","3","24"
